t	y	dy	ddy
4.456983021350375829e-01	3.296730763268217179e-02	1.478812014365505079e-01	3.311876558878125154e-01
4.556983021350375918e-01	3.446267763555566771e-02	1.511927988696979697e-01	3.311318307505299319e-01
4.656983021350376006e-01	3.599116075916662660e-02	1.545038255845373187e-01	3.310735122265806019e-01
4.756983021350376095e-01	3.755275117032556842e-02	1.578142563798098641e-01	3.310126468375718667e-01
4.856983021350376184e-01	3.914744278115919740e-02	1.611240655200136263e-01	3.309491812132275834e-01
4.956983021350376273e-01	4.077522924377350449e-02	1.644332267365074818e-01	3.308830620960089286e-01
5.056983021350376362e-01	4.243610394492812465e-02	1.677417132286622148e-01	3.308142363458256296e-01
5.156983021350376450e-01	4.413006000072245555e-02	1.710494976650589471e-01	3.307426509448373464e-01
5.256983021350376539e-01	4.585709025129398875e-02	1.743565521847360578e-01	3.306682530023441480e-01
5.356983021350376628e-01	4.761718725552936682e-02	1.776628483984856177e-01	3.305909897597654745e-01
5.456983021350376717e-01	4.941034328578864515e-02	1.809683573901997300e-01	3.305108085957066955e-01
5.556983021350376806e-01	5.123655032264328585e-02	1.842730497182683003e-01	3.304276570311132089e-01
5.656983021350376895e-01	5.309580004962839717e-02	1.875768954170285441e-01	3.303414827345102500e-01
5.756983021350376983e-01	5.498808384800969729e-02	1.908798639982675349e-01	3.302522335273284648e-01
5.856983021350377072e-01	5.691339279156579917e-02	1.941819244527781541e-01	3.301598573893140820e-01
5.956983021350377161e-01	5.887171764138632302e-02	1.974830452519698298e-01	3.300643024640227963e-01
6.056983021350377250e-01	6.086304884068640536e-02	2.007831943495344551e-01	3.299655170643965296e-01
6.156983021350377339e-01	6.288737650963811820e-02	2.040823391831686207e-01	3.298634496784219605e-01
6.256983021350377427e-01	6.494469044021941584e-02	2.073804466763526644e-01	3.297580489748704324e-01
6.356983021350377516e-01	6.703498009108115052e-02	2.106774832401876463e-01	3.296492638091175209e-01
6.456983021350377605e-01	6.915823458243278155e-02	2.139734147752909432e-01	3.295370432290417595e-01
6.556983021350377694e-01	7.131444269094729116e-02	2.172682066737510742e-01	3.294213364810011924e-01
6.656983021350377783e-01	7.350359284468595267e-02	2.205618238211428384e-01	3.293020930158870319e-01
6.756983021350377872e-01	7.572567311804362378e-02	2.238542305986032099e-01	3.291792624952528112e-01
6.856983021350377960e-01	7.798067122671500928e-02	2.271453908849691006e-01	3.290527947975182554e-01
6.956983021350378049e-01	8.026857452268269799e-02	2.304352680589772939e-01	3.289226400242468706e-01
7.056983021350378138e-01	8.258936998922745965e-02	2.337238250015276908e-01	3.287887485064953097e-01
7.156983021350378227e-01	8.494304423596150955e-02	2.370110240980103089e-01	3.286510708112341805e-01
7.256983021350378316e-01	8.732958349388535157e-02	2.402968272406969252e-01	3.285095577478383544e-01
7.356983021350378404e-01	8.974897361046892119e-02	2.435811958311978609e-01	3.283641603746459414e-01
7.456983021350378493e-01	9.220120004475755582e-02	2.468640907829847408e-01	3.282148300055839907e-01
7.556983021350378582e-01	9.468624786250355585e-02	2.501454725239799504e-01	3.280615182168605815e-01
7.656983021350378671e-01	9.720410173132398857e-02	2.534253009992130101e-01	3.279041768537205304e-01
7.756983021350378760e-01	9.975474591588535944e-02	2.567035356735453133e-01	3.277427580372644367e-01
7.856983021350378849e-01	1.023381642731159280e-01	2.599801355344628639e-01	3.275772141713293450e-01
7.956983021350378937e-01	1.049543402474462372e-01	2.632550590949384040e-01	3.274074979494287496e-01
8.056983021350379026e-01	1.076032568660786476e-01	2.665282643963632347e-01	3.272335623617516065e-01
8.156983021350379115e-01	1.102848967342865277e-01	2.697997090115491492e-01	3.270553607022177456e-01
8.256983021350379204e-01	1.129992420307438517e-01	2.730693500478014180e-01	3.268728465755887380e-01
8.356983021350379293e-01	1.157462745028857987e-01	2.763371441500629411e-01	3.266859739046323874e-01
8.456983021350379381e-01	1.185259754623012723e-01	2.796030475041303420e-01	3.264946969373389019e-01
8.556983021350379470e-01	1.213383257801578519e-01	2.828670158399426704e-01	3.262989702541874149e-01
8.656983021350379559e-01	1.241833058826600222e-01	2.861290044349428241e-01	3.260987487754611891e-01
8.756983021350379648e-01	1.270608957465413635e-01	2.893889681175121908e-01	3.258939877686089504e-01
8.856983021350379737e-01	1.299710748945915317e-01	2.926468612704797301e-01	3.256846428556516848e-01
8.956983021350379826e-01	1.329138223912186556e-01	2.959026378347045516e-01	3.254706700206321801e-01
9.056983021350379914e-01	1.358891168380478021e-01	2.991562513127337675e-01	3.252520256171057556e-01
9.156983021350380003e-01	1.388969363695566894e-01	3.024076547725353392e-01	3.250286663756701278e-01
9.256983021350380092e-01	1.419372586487488430e-01	3.056568008513062540e-01	3.248005494115329128e-01
9.356983021350380181e-01	1.450100608628653309e-01	3.089036417593565842e-01	3.245676322321139340e-01
9.456983021350380270e-01	1.481153197191356352e-01	3.121481292840699306e-01	3.243298727446813912e-01
9.556983021350380358e-01	1.512530114405686854e-01	3.153902147939399714e-01	3.240872292640190055e-01
9.656983021350380447e-01	1.544231117617844429e-01	3.186298492426845042e-01	3.238396605201221967e-01
9.756983021350380536e-01	1.576255959248870908e-01	3.218669831734358167e-01	3.235871256659215711e-01
9.856983021350380625e-01	1.608604386753806348e-01	3.251015667230089945e-01	3.233295842850313906e-01
